"Territory","Year","Score","Name","Live births (absolute value)","Live births (percentage value)"
"Piemonte","1999","1","ANDREA","961","5.39"
"Piemonte","1999","2","MATTEO","742","4.16"
"Piemonte","1999","3","ALESSANDRO","740","4.15"
"Piemonte","1999","4","LORENZO","695","3.9"
"Piemonte","1999","5","LUCA","687","3.85"
"Piemonte","1999","6","SIMONE","655","3.67"
"Piemonte","1999","7","DAVIDE","526","2.95"
"Piemonte","1999","8","MARCO","514","2.88"
"Piemonte","1999","9","FEDERICO","425","2.38"
"Piemonte","1999","10","FRANCESCO","390","2.19"
"Piemonte","2000","1","ANDREA","898","4.98"
"Piemonte","2000","2","ALESSANDRO","772","4.28"
"Piemonte","2000","3","MATTEO","763","4.23"
"Piemonte","2000","4","LORENZO","712","3.95"
"Piemonte","2000","5","LUCA","687","3.81"
"Piemonte","2000","6","SIMONE","596","3.3"
"Piemonte","2000","7","DAVIDE","568","3.15"
"Piemonte","2000","8","MARCO","501","2.78"
"Piemonte","2000","9","FRANCESCO","444","2.46"
"Piemonte","2000","10","FEDERICO","408","2.26"
"Piemonte","2001","1","ANDREA","843","4.7"
"Piemonte","2001","2","LORENZO","812","4.53"
"Piemonte","2001","3","MATTEO","802","4.48"
"Piemonte","2001","4","ALESSANDRO","703","3.92"
"Piemonte","2001","5","SIMONE","648","3.62"
"Piemonte","2001","6","LUCA","612","3.41"
"Piemonte","2001","7","DAVIDE","475","2.65"
"Piemonte","2001","8","FRANCESCO","465","2.59"
"Piemonte","2001","9","GABRIELE","451","2.52"
"Piemonte","2001","10","MARCO","441","2.46"
"Piemonte","2002","1","ANDREA","797","4.41"
"Piemonte","2002","2","LORENZO","770","4.26"
"Piemonte","2002","3","MATTEO","767","4.25"
"Piemonte","2002","4","ALESSANDRO","756","4.19"
"Piemonte","2002","5","LUCA","611","3.38"
"Piemonte","2002","6","SIMONE","574","3.18"
"Piemonte","2002","7","FRANCESCO","505","2.8"
"Piemonte","2002","8","DAVIDE","457","2.53"
"Piemonte","2002","9","GABRIELE","450","2.49"
"Piemonte","2002","10","MARCO","437","2.42"
"Piemonte","2003","1","ANDREA","859","4.64"
"Piemonte","2003","2","ALESSANDRO","786","4.25"
"Piemonte","2003","3","MATTEO","757","4.09"
"Piemonte","2003","4","LORENZO","741","4.01"
"Piemonte","2003","5","LUCA","627","3.39"
"Piemonte","2003","6","SIMONE","586","3.17"
"Piemonte","2003","7","GABRIELE","545","2.95"
"Piemonte","2003","8","MATTIA","501","2.71"
"Piemonte","2003","9","FRANCESCO","497","2.69"
"Piemonte","2003","10","DAVIDE","493","2.67"
"Piemonte","2004","1","ANDREA","827","4.32"
"Piemonte","2004","2","ALESSANDRO","796","4.15"
"Piemonte","2004","3","LORENZO","755","3.94"
"Piemonte","2004","4","MATTEO","734","3.83"
"Piemonte","2004","5","LUCA","677","3.53"
"Piemonte","2004","6","SIMONE","616","3.21"
"Piemonte","2004","7","GABRIELE","526","2.75"
"Piemonte","2004","8","DAVIDE","471","2.46"
"Piemonte","2004","8","MATTIA","471","2.46"
"Piemonte","2004","9","FRANCESCO","468","2.44"
"Piemonte","2004","10","MARCO","373","1.95"
"Piemonte","2005","1","LORENZO","761","4.03"
"Piemonte","2005","2","ALESSANDRO","752","3.98"
"Piemonte","2005","3","ANDREA","736","3.9"
"Piemonte","2005","4","MATTEO","699","3.7"
"Piemonte","2005","5","LUCA","571","3.03"
"Piemonte","2005","6","SIMONE","543","2.88"
"Piemonte","2005","7","GABRIELE","508","2.69"
"Piemonte","2005","8","FRANCESCO","474","2.51"
"Piemonte","2005","9","DAVIDE","458","2.43"
"Piemonte","2005","10","MATTIA","439","2.33"
"Piemonte","2006","1","ALESSANDRO","795","4.13"
"Piemonte","2006","2","ANDREA","763","3.96"
"Piemonte","2006","3","MATTEO","748","3.88"
"Piemonte","2006","4","LORENZO","736","3.82"
"Piemonte","2006","5","SIMONE","552","2.87"
"Piemonte","2006","6","LUCA","520","2.7"
"Piemonte","2006","7","FRANCESCO","503","2.61"
"Piemonte","2006","8","GABRIELE","489","2.54"
"Piemonte","2006","9","DAVIDE","446","2.32"
"Piemonte","2006","10","MATTIA","423","2.2"
"Piemonte","2007","1","ALESSANDRO","797","4.03"
"Piemonte","2007","2","LORENZO","759","3.84"
"Piemonte","2007","3","ANDREA","729","3.69"
"Piemonte","2007","4","MATTEO","726","3.67"
"Piemonte","2007","5","GABRIELE","557","2.82"
"Piemonte","2007","6","FRANCESCO","503","2.54"
"Piemonte","2007","7","SIMONE","489","2.47"
"Piemonte","2007","8","LUCA","477","2.41"
"Piemonte","2007","9","MATTIA","437","2.21"
"Piemonte","2007","10","FEDERICO","435","2.2"
"Piemonte","2007","10","RICCARDO","435","2.2"
"Piemonte","2008","1","ALESSANDRO","768","3.77"
"Piemonte","2008","2","MATTEO","760","3.73"
"Piemonte","2008","3","ANDREA","737","3.62"
"Piemonte","2008","4","LORENZO","729","3.58"
"Piemonte","2008","5","GABRIELE","655","3.22"
"Piemonte","2008","6","RICCARDO","522","2.56"
"Piemonte","2008","7","FRANCESCO","506","2.49"
"Piemonte","2008","8","SIMONE","488","2.4"
"Piemonte","2008","9","MATTIA","485","2.38"
"Piemonte","2008","10","LUCA","454","2.23"
"Piemonte","2009","1","ALESSANDRO","741","3.69"
"Piemonte","2009","2","MATTEO","732","3.65"
"Piemonte","2009","3","LORENZO","718","3.58"
"Piemonte","2009","4","ANDREA","618","3.08"
"Piemonte","2009","5","GABRIELE","607","3.02"
"Piemonte","2009","6","RICCARDO","506","2.52"
"Piemonte","2009","7","MATTIA","491","2.45"
"Piemonte","2009","8","FRANCESCO","483","2.41"
"Piemonte","2009","9","FEDERICO","428","2.13"
"Piemonte","2009","10","LUCA","417","2.08"
"Piemonte","2010","1","ALESSANDRO","706","3.57"
"Piemonte","2010","2","LORENZO","690","3.49"
"Piemonte","2010","3","MATTEO","628","3.17"
"Piemonte","2010","4","ANDREA","591","2.99"
"Piemonte","2010","5","GABRIELE","584","2.95"
"Piemonte","2010","6","MATTIA","546","2.76"
"Piemonte","2010","7","FRANCESCO","470","2.37"
"Piemonte","2010","8","RICCARDO","453","2.29"
"Piemonte","2010","9","FEDERICO","431","2.18"
"Piemonte","2010","10","LUCA","390","1.97"
"Piemonte","2011","1","LORENZO","690","3.53"
"Piemonte","2011","2","ALESSANDRO","669","3.43"
"Piemonte","2011","3","MATTEO","636","3.26"
"Piemonte","2011","4","ANDREA","622","3.19"
"Piemonte","2011","5","GABRIELE","603","3.09"
"Piemonte","2011","6","FRANCESCO","483","2.47"
"Piemonte","2011","7","MATTIA","451","2.31"
"Piemonte","2011","8","LEONARDO","434","2.22"
"Piemonte","2011","9","SIMONE","382","1.96"
"Piemonte","2011","10","RICCARDO","369","1.89"
"Piemonte","2012","1","LORENZO","646","3.43"
"Piemonte","2012","2","MATTEO","631","3.35"
"Piemonte","2012","3","ALESSANDRO","616","3.27"
"Piemonte","2012","4","ANDREA","566","3"
"Piemonte","2012","5","MATTIA","513","2.72"
"Piemonte","2012","6","GABRIELE","491","2.61"
"Piemonte","2012","7","LEONARDO","456","2.42"
"Piemonte","2012","8","FRANCESCO","426","2.26"
"Piemonte","2012","9","RICCARDO","389","2.06"
"Piemonte","2012","10","FEDERICO","367","1.95"
"Piemonte","2013","1","LORENZO","606","3.37"
"Piemonte","2013","2","ALESSANDRO","595","3.31"
"Piemonte","2013","3","FRANCESCO","589","3.28"
"Piemonte","2013","4","MATTEO","533","2.97"
"Piemonte","2013","5","ANDREA","491","2.73"
"Piemonte","2013","6","GABRIELE","483","2.69"
"Piemonte","2013","7","MATTIA","468","2.61"
"Piemonte","2013","8","LEONARDO","448","2.49"
"Piemonte","2013","9","TOMMASO","404","2.25"
"Piemonte","2013","10","EDOARDO","358","1.99"
"Piemonte","2014","1","FRANCESCO","545","3.12"
"Piemonte","2014","2","ALESSANDRO","522","2.99"
"Piemonte","2014","3","MATTEO","514","2.94"
"Piemonte","2014","4","LEONARDO","508","2.91"
"Piemonte","2014","5","LORENZO","506","2.9"
"Piemonte","2014","6","MATTIA","448","2.56"
"Piemonte","2014","7","GABRIELE","437","2.5"
"Piemonte","2014","8","ANDREA","408","2.34"
"Piemonte","2014","8","TOMMASO","408","2.34"
"Piemonte","2014","9","EDOARDO","383","2.19"
"Piemonte","2014","10","RICCARDO","382","2.19"
"Piemonte","2015","1","LORENZO","543","3.17"
"Piemonte","2015","2","LEONARDO","510","2.98"
"Piemonte","2015","3","ALESSANDRO","486","2.84"
"Piemonte","2015","4","MATTEO","478","2.79"
"Piemonte","2015","5","ANDREA","439","2.57"
"Piemonte","2015","6","FRANCESCO","438","2.56"
"Piemonte","2015","7","GABRIELE","429","2.51"
"Piemonte","2015","8","MATTIA","423","2.47"
"Piemonte","2015","9","EDOARDO","411","2.4"
"Piemonte","2015","10","TOMMASO","392","2.29"
"Piemonte","2016","1","LEONARDO","575","3.55"
"Piemonte","2016","2","LORENZO","509","3.15"
"Piemonte","2016","3","ALESSANDRO","498","3.08"
"Piemonte","2016","4","MATTIA","429","2.65"
"Piemonte","2016","5","GABRIELE","405","2.5"
"Piemonte","2016","6","EDOARDO","396","2.45"
"Piemonte","2016","7","MATTEO","394","2.43"
"Piemonte","2016","8","FRANCESCO","380","2.35"
"Piemonte","2016","8","TOMMASO","380","2.35"
"Piemonte","2016","9","ANDREA","358","2.21"
"Piemonte","2016","10","RICCARDO","356","2.2"
"Piemonte","2017","1","LEONARDO","603","3.86"
"Piemonte","2017","2","LORENZO","464","2.97"
"Piemonte","2017","3","ALESSANDRO","429","2.75"
"Piemonte","2017","4","MATTIA","420","2.69"
"Piemonte","2017","5","EDOARDO","387","2.48"
"Piemonte","2017","6","TOMMASO","384","2.46"
"Piemonte","2017","7","GABRIELE","378","2.42"
"Piemonte","2017","8","FRANCESCO","353","2.26"
"Piemonte","2017","9","ANDREA","345","2.21"
"Piemonte","2017","10","MATTEO","329","2.11"
"Piemonte","2018","1","LEONARDO","675","4.52"
"Piemonte","2018","2","LORENZO","424","2.84"
"Piemonte","2018","3","GABRIELE","393","2.63"
"Piemonte","2018","4","EDOARDO","390","2.61"
"Piemonte","2018","5","ALESSANDRO","384","2.57"
"Piemonte","2018","6","MATTIA","369","2.47"
"Piemonte","2018","7","TOMMASO","348","2.33"
"Piemonte","2018","8","RICCARDO","314","2.1"
"Piemonte","2018","9","MATTEO","304","2.03"
"Piemonte","2018","10","FRANCESCO","290","1.94"
"Piemonte","2019","1","LEONARDO","610","4.45"
"Piemonte","2019","2","LORENZO","393","2.87"
"Piemonte","2019","3","EDOARDO","391","2.85"
"Piemonte","2019","4","TOMMASO","347","2.53"
"Piemonte","2019","5","RICCARDO","335","2.45"
"Piemonte","2019","6","ALESSANDRO","322","2.35"
"Piemonte","2019","7","GABRIELE","314","2.29"
"Piemonte","2019","8","MATTIA","300","2.19"
"Piemonte","2019","9","NICOLO'","273","1.99"
"Piemonte","2019","10","FEDERICO","272","1.99"
"Piemonte","2020","1","LEONARDO","717","5.12"
"Piemonte","2020","2","TOMMASO","419","2.99"
"Piemonte","2020","3","LORENZO","407","2.91"
"Piemonte","2020","4","ALESSANDRO","357","2.55"
"Piemonte","2020","5","EDOARDO","353","2.52"
"Piemonte","2020","6","MATTIA","331","2.36"
"Piemonte","2020","7","RICCARDO","314","2.24"
"Piemonte","2020","8","GABRIELE","308","2.2"
"Piemonte","2020","9","FRANCESCO","266","1.9"
"Piemonte","2020","10","MATTEO","234","1.67"
"Piemonte","2021","1","LEONARDO","688","5.02"
"Piemonte","2021","2","TOMMASO","477","3.48"
"Piemonte","2021","3","EDOARDO","413","3.01"
"Piemonte","2021","4","LORENZO","385","2.81"
"Piemonte","2021","5","ALESSANDRO","344","2.51"
"Piemonte","2021","6","GABRIELE","304","2.22"
"Piemonte","2021","7","RICCARDO","289","2.11"
"Piemonte","2021","8","MATTIA","276","2.01"
"Piemonte","2021","9","NICOLO'","253","1.85"
"Piemonte","2021","10","FRANCESCO","240","1.75"
"Piemonte","2022","1","LEONARDO","657","4.95"
"Piemonte","2022","2","EDOARDO","425","3.2"
"Piemonte","2022","3","TOMMASO","424","3.2"
"Piemonte","2022","4","LORENZO","368","2.77"
"Piemonte","2022","5","ALESSANDRO","313","2.36"
"Piemonte","2022","6","GABRIELE","290","2.19"
"Piemonte","2022","7","RICCARDO","269","2.03"
"Piemonte","2022","8","MATTIA","251","1.89"
"Piemonte","2022","9","NICOLO'","244","1.84"
"Piemonte","2022","10","MATTEO","232","1.75"
"Piemonte","2023","1","LEONARDO","544","4.21"
"Piemonte","2023","2","EDOARDO","484","3.75"
"Piemonte","2023","3","TOMMASO","443","3.43"
"Piemonte","2023","4","LORENZO","290","2.25"
"Piemonte","2023","5","MATTIA","283","2.19"
"Piemonte","2023","6","ALESSANDRO","282","2.18"
"Piemonte","2023","7","GABRIELE","265","2.05"
"Piemonte","2023","8","RICCARDO","258","2"
"Piemonte","2023","9","FRANCESCO","218","1.69"
"Piemonte","2023","10","ENEA","215","1.66"
"Piemonte","2024","1","LEONARDO","497","3.96"
"Piemonte","2024","2","EDOARDO","495","3.95"
"Piemonte","2024","3","TOMMASO","406","3.24"
"Piemonte","2024","4","GABRIELE","264","2.1"
"Piemonte","2024","5","MATTIA","257","2.05"
"Piemonte","2024","6","LORENZO","250","1.99"
"Piemonte","2024","7","RICCARDO","245","1.95"
"Piemonte","2024","8","ALESSANDRO","233","1.86"
"Piemonte","2024","9","NICOLO'","215","1.71"
"Piemonte","2024","10","ENEA","201","1.6"
"Valle d'Aosta/Vallée d'Aoste","1999","1","LORENZO","25","4.39"
"Valle d'Aosta/Vallée d'Aoste","1999","2","SIMONE","22","3.86"
"Valle d'Aosta/Vallée d'Aoste","1999","3","LUCA","20","3.51"
"Valle d'Aosta/Vallée d'Aoste","1999","3","MARCO","20","3.51"
"Valle d'Aosta/Vallée d'Aoste","1999","4","ALESSANDRO","19","3.33"
"Valle d'Aosta/Vallée d'Aoste","1999","5","MATTEO","18","3.16"
"Valle d'Aosta/Vallée d'Aoste","1999","6","DAVIDE","16","2.81"
"Valle d'Aosta/Vallée d'Aoste","1999","7","ANDREA","15","2.63"
"Valle d'Aosta/Vallée d'Aoste","1999","8","MATTIA","14","2.46"
"Valle d'Aosta/Vallée d'Aoste","1999","9","FEDERICO","13","2.28"
"Valle d'Aosta/Vallée d'Aoste","1999","10","ALEX","9","1.58"
"Valle d'Aosta/Vallée d'Aoste","1999","10","SAMUELE","9","1.58"
"Valle d'Aosta/Vallée d'Aoste","2000","1","MATTEO","28","4.64"
"Valle d'Aosta/Vallée d'Aoste","2000","2","DAVIDE","24","3.98"
"Valle d'Aosta/Vallée d'Aoste","2000","3","ANDREA","23","3.81"
"Valle d'Aosta/Vallée d'Aoste","2000","3","SIMONE","23","3.81"
"Valle d'Aosta/Vallée d'Aoste","2000","4","MATTIA","18","2.99"
"Valle d'Aosta/Vallée d'Aoste","2000","5","ALESSANDRO","14","2.32"
"Valle d'Aosta/Vallée d'Aoste","2000","5","ALEX","14","2.32"
"Valle d'Aosta/Vallée d'Aoste","2000","5","FEDERICO","14","2.32"
"Valle d'Aosta/Vallée d'Aoste","2000","6","LUCA","13","2.16"
"Valle d'Aosta/Vallée d'Aoste","2000","7","LORENZO","12","1.99"
"Valle d'Aosta/Vallée d'Aoste","2000","8","FABIO","10","1.66"
"Valle d'Aosta/Vallée d'Aoste","2000","9","NICOLO'","9","1.49"
"Valle d'Aosta/Vallée d'Aoste","2000","9","SAMUELE","9","1.49"
"Valle d'Aosta/Vallée d'Aoste","2000","10","EDOARDO","8","1.33"
"Valle d'Aosta/Vallée d'Aoste","2000","10","GABRIELE","8","1.33"
"Valle d'Aosta/Vallée d'Aoste","2000","10","LAURENT","8","1.33"
"Valle d'Aosta/Vallée d'Aoste","2001","1","MATTEO","24","4.05"
"Valle d'Aosta/Vallée d'Aoste","2001","2","DAVIDE","22","3.72"
"Valle d'Aosta/Vallée d'Aoste","2001","3","LORENZO","18","3.04"
"Valle d'Aosta/Vallée d'Aoste","2001","4","ANDREA","17","2.87"
"Valle d'Aosta/Vallée d'Aoste","2001","5","LUCA","14","2.36"
"Valle d'Aosta/Vallée d'Aoste","2001","5","SIMONE","14","2.36"
"Valle d'Aosta/Vallée d'Aoste","2001","6","ALESSANDRO","13","2.2"
"Valle d'Aosta/Vallée d'Aoste","2001","7","FRANCESCO","12","2.03"
"Valle d'Aosta/Vallée d'Aoste","2001","8","FEDERICO","10","1.69"
"Valle d'Aosta/Vallée d'Aoste","2001","8","NICOLO'","10","1.69"
"Valle d'Aosta/Vallée d'Aoste","2001","9","MARCO","9","1.52"
"Valle d'Aosta/Vallée d'Aoste","2001","9","STEFANO","9","1.52"
"Valle d'Aosta/Vallée d'Aoste","2001","10","JACOPO","8","1.35"
"Valle d'Aosta/Vallée d'Aoste","2001","10","PIETRO","8","1.35"
"Valle d'Aosta/Vallée d'Aoste","2001","10","SAMUELE","8","1.35"
"Valle d'Aosta/Vallée d'Aoste","2002","1","ANDREA","29","4.67"
"Valle d'Aosta/Vallée d'Aoste","2002","2","ALESSANDRO","23","3.7"
"Valle d'Aosta/Vallée d'Aoste","2002","2","MATTEO","23","3.7"
"Valle d'Aosta/Vallée d'Aoste","2002","3","SIMONE","19","3.06"
"Valle d'Aosta/Vallée d'Aoste","2002","4","LORENZO","18","2.9"
"Valle d'Aosta/Vallée d'Aoste","2002","5","DAVIDE","17","2.74"
"Valle d'Aosta/Vallée d'Aoste","2002","5","FEDERICO","17","2.74"
"Valle d'Aosta/Vallée d'Aoste","2002","6","GABRIELE","13","2.09"
"Valle d'Aosta/Vallée d'Aoste","2002","7","MATTIA","11","1.77"
"Valle d'Aosta/Vallée d'Aoste","2002","8","RICCARDO","10","1.61"
"Valle d'Aosta/Vallée d'Aoste","2002","9","ALEX","8","1.29"
"Valle d'Aosta/Vallée d'Aoste","2002","9","CHRISTIAN","8","1.29"
"Valle d'Aosta/Vallée d'Aoste","2002","9","STEFANO","8","1.29"
"Valle d'Aosta/Vallée d'Aoste","2002","10","FILIPPO","7","1.13"
"Valle d'Aosta/Vallée d'Aoste","2002","10","LUCA","7","1.13"
"Valle d'Aosta/Vallée d'Aoste","2003","1","ANDREA","20","3.48"
"Valle d'Aosta/Vallée d'Aoste","2003","1","LUCA","20","3.48"
"Valle d'Aosta/Vallée d'Aoste","2003","2","ALESSANDRO","19","3.3"
"Valle d'Aosta/Vallée d'Aoste","2003","3","LORENZO","17","2.96"
"Valle d'Aosta/Vallée d'Aoste","2003","4","DAVIDE","12","2.09"
"Valle d'Aosta/Vallée d'Aoste","2003","4","FRANCESCO","12","2.09"
"Valle d'Aosta/Vallée d'Aoste","2003","4","MATTEO","12","2.09"
"Valle d'Aosta/Vallée d'Aoste","2003","4","MATTIA","12","2.09"
"Valle d'Aosta/Vallée d'Aoste","2003","5","FEDERICO","11","1.91"
"Valle d'Aosta/Vallée d'Aoste","2003","5","SIMONE","11","1.91"
"Valle d'Aosta/Vallée d'Aoste","2003","6","FABIO","10","1.74"
"Valle d'Aosta/Vallée d'Aoste","2003","6","GABRIELE","10","1.74"
"Valle d'Aosta/Vallée d'Aoste","2003","6","MICHEL","10","1.74"
"Valle d'Aosta/Vallée d'Aoste","2003","7","EDOARDO","9","1.57"
"Valle d'Aosta/Vallée d'Aoste","2003","8","ALESSIO","8","1.39"
"Valle d'Aosta/Vallée d'Aoste","2003","9","GABRIEL","7","1.22"
"Valle d'Aosta/Vallée d'Aoste","2003","9","NICHOLAS","7","1.22"
"Valle d'Aosta/Vallée d'Aoste","2003","10","DANIEL","6","1.04"
"Valle d'Aosta/Vallée d'Aoste","2003","10","FILIPPO","6","1.04"
"Valle d'Aosta/Vallée d'Aoste","2003","10","LEONARDO","6","1.04"
"Valle d'Aosta/Vallée d'Aoste","2003","10","NICOLAS","6","1.04"
"Valle d'Aosta/Vallée d'Aoste","2003","10","NICOLO","6","1.04"
"Valle d'Aosta/Vallée d'Aoste","2003","10","NICOLO'","6","1.04"
"Valle d'Aosta/Vallée d'Aoste","2004","1","LUCA","22","3.37"
"Valle d'Aosta/Vallée d'Aoste","2004","2","LORENZO","18","2.76"
"Valle d'Aosta/Vallée d'Aoste","2004","2","SIMONE","18","2.76"
"Valle d'Aosta/Vallée d'Aoste","2004","3","ALESSANDRO","16","2.45"
"Valle d'Aosta/Vallée d'Aoste","2004","3","DAVIDE","16","2.45"
"Valle d'Aosta/Vallée d'Aoste","2004","4","ANDREA","15","2.3"
"Valle d'Aosta/Vallée d'Aoste","2004","5","MATTEO","14","2.14"
"Valle d'Aosta/Vallée d'Aoste","2004","6","NICOLO'","12","1.84"
"Valle d'Aosta/Vallée d'Aoste","2004","6","RICCARDO","12","1.84"
"Valle d'Aosta/Vallée d'Aoste","2004","7","GABRIELE","11","1.68"
"Valle d'Aosta/Vallée d'Aoste","2004","7","MATTIA","11","1.68"
"Valle d'Aosta/Vallée d'Aoste","2004","7","TOMMASO","11","1.68"
"Valle d'Aosta/Vallée d'Aoste","2004","8","FRANCESCO","10","1.53"
"Valle d'Aosta/Vallée d'Aoste","2004","9","ALESSIO","9","1.38"
"Valle d'Aosta/Vallée d'Aoste","2004","9","FILIPPO","9","1.38"
"Valle d'Aosta/Vallée d'Aoste","2004","10","FEDERICO","8","1.23"
"Valle d'Aosta/Vallée d'Aoste","2004","10","GABRIEL","8","1.23"
"Valle d'Aosta/Vallée d'Aoste","2004","10","JACOPO","8","1.23"
"Valle d'Aosta/Vallée d'Aoste","2004","10","MANUEL","8","1.23"
"Valle d'Aosta/Vallée d'Aoste","2004","10","MARCO","8","1.23"
"Valle d'Aosta/Vallée d'Aoste","2005","1","LORENZO","18","3.18"
"Valle d'Aosta/Vallée d'Aoste","2005","2","SIMONE","16","2.83"
"Valle d'Aosta/Vallée d'Aoste","2005","3","ALESSANDRO","15","2.65"
"Valle d'Aosta/Vallée d'Aoste","2005","3","DAVIDE","15","2.65"
"Valle d'Aosta/Vallée d'Aoste","2005","4","LEONARDO","13","2.3"
"Valle d'Aosta/Vallée d'Aoste","2005","5","ANDREA","12","2.12"
"Valle d'Aosta/Vallée d'Aoste","2005","5","MATTIA","12","2.12"
"Valle d'Aosta/Vallée d'Aoste","2005","5","TOMMASO","12","2.12"
"Valle d'Aosta/Vallée d'Aoste","2005","6","EDOARDO","10","1.77"
"Valle d'Aosta/Vallée d'Aoste","2005","6","FEDERICO","10","1.77"
"Valle d'Aosta/Vallée d'Aoste","2005","6","MATTEO","10","1.77"
"Valle d'Aosta/Vallée d'Aoste","2005","7","DANIEL","9","1.59"
"Valle d'Aosta/Vallée d'Aoste","2005","7","RICCARDO","9","1.59"
"Valle d'Aosta/Vallée d'Aoste","2005","8","JACOPO","8","1.41"
"Valle d'Aosta/Vallée d'Aoste","2005","9","ALESSIO","7","1.24"
"Valle d'Aosta/Vallée d'Aoste","2005","9","DANIELE","7","1.24"
"Valle d'Aosta/Vallée d'Aoste","2005","9","FRANCESCO","7","1.24"
"Valle d'Aosta/Vallée d'Aoste","2005","9","STEFANO","7","1.24"
"Valle d'Aosta/Vallée d'Aoste","2005","10","MATHIEU","6","1.06"
"Valle d'Aosta/Vallée d'Aoste","2006","1","SIMONE","24","3.72"
"Valle d'Aosta/Vallée d'Aoste","2006","2","ANDREA","23","3.57"
"Valle d'Aosta/Vallée d'Aoste","2006","3","MATTEO","21","3.26"
"Valle d'Aosta/Vallée d'Aoste","2006","4","LORENZO","17","2.64"
"Valle d'Aosta/Vallée d'Aoste","2006","5","ALESSANDRO","15","2.33"
"Valle d'Aosta/Vallée d'Aoste","2006","5","DAVIDE","15","2.33"
"Valle d'Aosta/Vallée d'Aoste","2006","6","FEDERICO","13","2.02"
"Valle d'Aosta/Vallée d'Aoste","2006","6","LUCA","13","2.02"
"Valle d'Aosta/Vallée d'Aoste","2006","7","LEONARDO","12","1.86"
"Valle d'Aosta/Vallée d'Aoste","2006","8","GABRIEL","10","1.55"
"Valle d'Aosta/Vallée d'Aoste","2006","8","GABRIELE","10","1.55"
"Valle d'Aosta/Vallée d'Aoste","2006","9","CHRISTIAN","8","1.24"
"Valle d'Aosta/Vallée d'Aoste","2006","9","MARCO","8","1.24"
"Valle d'Aosta/Vallée d'Aoste","2006","9","MICHEL","8","1.24"
"Valle d'Aosta/Vallée d'Aoste","2006","9","NICOLO'","8","1.24"
"Valle d'Aosta/Vallée d'Aoste","2006","10","PIETRO","7","1.09"
"Valle d'Aosta/Vallée d'Aoste","2006","10","RICCARDO","7","1.09"
"Valle d'Aosta/Vallée d'Aoste","2007","1","MATTIA","24","3.68"
"Valle d'Aosta/Vallée d'Aoste","2007","2","MATTEO","20","3.07"
"Valle d'Aosta/Vallée d'Aoste","2007","2","SIMONE","20","3.07"
"Valle d'Aosta/Vallée d'Aoste","2007","3","LORENZO","19","2.91"
"Valle d'Aosta/Vallée d'Aoste","2007","4","ALESSANDRO","18","2.76"
"Valle d'Aosta/Vallée d'Aoste","2007","4","ANDREA","18","2.76"
"Valle d'Aosta/Vallée d'Aoste","2007","5","DAVIDE","17","2.61"
"Valle d'Aosta/Vallée d'Aoste","2007","5","FEDERICO","17","2.61"
"Valle d'Aosta/Vallée d'Aoste","2007","6","LUCA","11","1.69"
"Valle d'Aosta/Vallée d'Aoste","2007","7","GABRIELE","10","1.53"
"Valle d'Aosta/Vallée d'Aoste","2007","8","FRANCESCO","9","1.38"
"Valle d'Aosta/Vallée d'Aoste","2007","8","JACOPO","9","1.38"
"Valle d'Aosta/Vallée d'Aoste","2007","8","MATHIEU","9","1.38"
"Valle d'Aosta/Vallée d'Aoste","2007","8","NICOLO'","9","1.38"
"Valle d'Aosta/Vallée d'Aoste","2007","9","CHRISTIAN","8","1.23"
"Valle d'Aosta/Vallée d'Aoste","2007","9","SAMUEL","8","1.23"
"Valle d'Aosta/Vallée d'Aoste","2007","10","DANIEL","7","1.07"
"Valle d'Aosta/Vallée d'Aoste","2007","10","PIETRO","7","1.07"
"Valle d'Aosta/Vallée d'Aoste","2007","10","TOMMASO","7","1.07"
"Valle d'Aosta/Vallée d'Aoste","2008","1","MATTEO","25","3.74"
"Valle d'Aosta/Vallée d'Aoste","2008","2","MATTIA","21","3.14"
"Valle d'Aosta/Vallée d'Aoste","2008","3","ANDREA","19","2.84"
"Valle d'Aosta/Vallée d'Aoste","2008","4","ALESSANDRO","18","2.69"
"Valle d'Aosta/Vallée d'Aoste","2008","5","LEONARDO","15","2.24"
"Valle d'Aosta/Vallée d'Aoste","2008","5","LORENZO","15","2.24"
"Valle d'Aosta/Vallée d'Aoste","2008","6","GABRIEL","14","2.09"
"Valle d'Aosta/Vallée d'Aoste","2008","7","JACOPO","13","1.94"
"Valle d'Aosta/Vallée d'Aoste","2008","7","SIMONE","13","1.94"
"Valle d'Aosta/Vallée d'Aoste","2008","8","FEDERICO","12","1.79"
"Valle d'Aosta/Vallée d'Aoste","2008","8","NICOLO'","12","1.79"
"Valle d'Aosta/Vallée d'Aoste","2008","9","GABRIELE","11","1.64"
"Valle d'Aosta/Vallée d'Aoste","2008","10","MARCO","9","1.35"
"Valle d'Aosta/Vallée d'Aoste","2008","10","PIETRO","9","1.35"
"Valle d'Aosta/Vallée d'Aoste","2009","1","ALESSANDRO","23","3.42"
"Valle d'Aosta/Vallée d'Aoste","2009","2","FEDERICO","16","2.38"
"Valle d'Aosta/Vallée d'Aoste","2009","2","LORENZO","16","2.38"
"Valle d'Aosta/Vallée d'Aoste","2009","2","MATTEO","16","2.38"
"Valle d'Aosta/Vallée d'Aoste","2009","3","ANDREA","13","1.93"
"Valle d'Aosta/Vallée d'Aoste","2009","3","DAVIDE","13","1.93"
